discount_id,description,discount_value,start_date,end_date
1,Those recent strategy everyone treatment baby.,30.06,2024-08-02 13:46:44.719257,2024-03-19 06:42:45.535197
2,Design family appear good personal.,10.83,2024-09-20 12:51:55.078326,2024-05-16 16:15:43.679791
3,International job remain occur.,36.55,2024-01-11 23:46:19.449093,2024-06-04 02:38:31.581403
4,Subject speech east hand popular recognize.,48.53,2024-08-25 14:32:20.935936,2024-04-29 04:56:35.624404
5,Purpose remain off simply.,17.41,2024-09-06 14:08:06.780880,2024-01-27 23:30:17.599829
6,Important rather dog peace another company learn.,19.56,2024-05-02 18:38:55.650358,2024-06-16 13:45:12.923256
7,Natural population whole movie argue believe whatever.,16.38,2024-07-02 18:13:34.136022,2024-06-13 18:23:16.557636
8,Own purpose figure interesting.,5.97,2024-04-10 04:47:12.484255,2024-03-02 00:01:08.779901
9,Less coach adult someone almost.,40.95,2024-01-25 06:03:28.121490,2024-06-02 06:48:45.741403
10,Become control only fear.,47.95,2024-06-29 22:00:08.552805,2024-09-12 15:54:43.326944
11,No determine nearly.,27.9,2024-08-05 11:54:16.131652,2024-05-03 09:48:21.461467
12,Pretty discover night somebody enough argue term.,27.95,2024-08-28 12:34:03.711992,2024-06-27 23:15:18.831555
13,Beautiful who compare foot kind together.,41.39,2024-09-08 14:05:01.575230,2024-09-22 05:33:46.258516
14,Agreement agree across particularly go.,39.55,2024-02-10 03:25:46.561595,2024-05-30 23:17:39.779094
15,Need hospital house break message.,18.45,2024-03-09 08:25:48.038421,2024-01-27 04:02:55.064519
16,Employee own few foot.,31.67,2024-09-22 00:04:44.760815,2024-06-25 19:13:51.035327
17,Throw crime region discussion program fly real parent.,29.87,2024-05-28 05:58:22.413891,2024-05-25 07:37:25.230318
18,Stay strategy quite.,32.77,2024-01-23 12:11:47.286863,2024-08-19 16:23:27.465914
19,Big father evidence these your.,32.52,2024-01-13 13:08:21.508672,2024-07-21 06:43:12.068337
20,Letter partner source read onto friend doctor.,18.17,2024-07-23 20:23:12.782147,2024-06-10 00:49:59.874607
21,Rise policy term candidate look manager certainly.,36.84,2024-07-03 05:16:31.549916,2024-04-14 16:06:32.937201
22,Then small very matter close visit.,41.5,2024-08-17 19:43:10.418775,2024-03-10 09:08:31.177853
23,Detail catch religious together.,19.17,2024-06-30 20:19:10.813004,2024-09-03 21:44:53.016270
24,Rule stand continue Democrat.,41.57,2024-01-18 06:39:49.925035,2024-05-06 17:27:53.211558
25,Left voice color trip rise paper.,36.64,2024-03-20 13:10:50.615264,2024-03-29 18:29:12.432149
26,Might seek small minute.,29.09,2024-06-06 06:20:06.331910,2024-06-20 23:06:22.814105
27,Wall born computer until soon subject safe.,34.08,2024-03-28 19:25:34.925700,2024-03-17 09:06:12.491478
28,There hard save population create.,12.72,2024-04-10 19:19:01.308346,2024-05-13 17:23:07.370849
29,Finally different thought push.,10.05,2024-02-18 05:25:06.044229,2024-05-13 03:39:32.832380
30,Which number appear few most.,19.87,2024-04-05 23:32:01.537603,2024-06-08 12:54:08.412126
31,Church magazine goal first change relationship.,47.33,2024-07-27 11:52:06.444392,2024-04-04 04:46:08.849754
32,Reveal seek man why catch push myself glass.,35.5,2024-03-01 23:01:13.863000,2024-04-13 00:45:41.859008
33,Recognize southern election hundred stuff.,24.42,2024-05-15 23:27:03.126646,2024-02-15 03:58:41.132647
34,Style church something tax approach.,11.86,2024-03-21 01:46:57.832843,2024-02-21 13:47:50.822083
35,Charge consider weight machine use.,23.98,2024-01-05 18:19:01.979048,2024-06-08 12:47:26.476514
36,Institution each level begin popular light fear several.,22.51,2024-08-09 20:49:39.418935,2024-08-25 18:00:15.581858
37,Already nature matter.,38.11,2024-04-21 17:31:36.527523,2024-01-01 23:31:56.534812
38,Model low hospital.,25.18,2024-06-02 19:34:22.597437,2024-07-06 13:09:12.564177
39,Mother believe son edge do.,28.32,2024-02-21 15:09:23.869597,2024-02-21 02:03:03.289811
40,Process per understand whom consumer candidate inside.,40.35,2024-08-12 11:03:15.335067,2024-06-23 14:31:33.147328
41,Machine source parent social line.,29.93,2024-05-20 15:25:59.107131,2024-06-27 19:10:38.382279
42,House can beautiful although sign near child.,21.45,2024-01-10 03:57:25.001189,2024-03-22 14:20:13.653956
43,Will side hair about happy.,47.14,2024-07-25 02:09:46.708753,2024-06-19 07:03:35.129855
44,When all establish ask east environmental.,32.28,2024-08-24 22:00:20.310207,2024-01-13 16:40:05.533288
45,Six growth professional probably probably.,12.43,2024-08-14 19:17:40.210989,2024-09-11 17:21:44.311467
46,Term court stock.,15.19,2024-03-01 06:30:06.907666,2024-09-08 16:21:49.411369
47,Customer yard authority professional protect process cultural.,31.8,2024-09-16 14:57:24.856790,2024-07-04 07:33:19.414642
48,Certainly begin past treat.,44.08,2024-06-22 17:33:50.539225,2024-01-21 11:40:19.463830
49,A hold our owner rich compare.,18.66,2024-01-20 11:08:28.151354,2024-04-03 23:09:14.542746
50,Structure response business speech life center enter.,27.83,2024-01-30 03:28:52.276409,2024-03-27 08:13:04.134509
51,Value successful produce later.,5.45,2024-06-04 13:29:39.000521,2024-09-11 18:08:16.406636
52,Your work series wife product.,22.78,2024-02-04 15:25:43.950536,2024-01-27 07:07:15.361421
53,Value common message pretty figure idea.,38.86,2024-07-19 10:03:49.266190,2024-07-22 02:08:41.220085
54,Buy popular political should measure.,17.23,2024-03-31 22:51:04.064712,2024-09-16 14:59:53.108862
55,Agency there sit.,5.87,2024-04-20 20:33:16.489943,2024-03-10 04:25:51.314483
56,Role score American yet reveal section century.,47.05,2024-05-22 05:30:33.149825,2024-08-08 06:38:42.265036
57,Later difficult tell material trouble.,23.2,2024-08-09 12:16:43.586877,2024-05-12 02:04:20.320283
58,Pm environment few force put much.,14.01,2024-05-27 17:40:49.876838,2024-06-13 13:47:46.115537
59,Suffer behind make.,28.87,2024-04-20 04:41:49.338419,2024-05-08 17:45:26.150896
60,Nature large data cell national nearly.,14.96,2024-05-18 11:37:49.711984,2024-04-15 03:11:04.355542
61,Window rather sell attention either wrong true.,28.57,2024-01-15 10:26:23.150423,2024-08-19 00:55:44.402968
62,Financial determine suggest morning.,40.42,2024-05-03 00:59:06.415442,2024-03-29 09:14:33.130724
63,Office describe approach.,32.01,2024-09-21 02:24:52.821037,2024-03-10 11:28:46.189780
64,Phone personal major candidate.,10.58,2024-01-04 05:00:39.831689,2024-05-18 21:06:46.120195
65,Research gas could nothing knowledge.,49.93,2024-06-25 16:39:42.955270,2024-03-28 08:16:57.808453
66,Pressure deal yeah answer standard company.,29.26,2024-01-19 06:01:45.012165,2024-02-12 09:57:39.866856
67,May drug special design treat.,44.9,2024-05-24 07:13:25.306153,2024-03-04 13:41:07.323446
68,Marriage two physical.,9.99,2024-07-18 03:36:14.838403,2024-06-04 17:26:27.053415
69,Make buy sort summer win window of.,22.65,2024-09-01 08:54:41.274752,2024-03-17 08:54:04.242504
70,Too check person authority step perhaps accept.,16.94,2024-05-04 11:56:52.467763,2024-09-01 02:11:17.867470
71,Discover important truth entire.,45.71,2024-04-14 09:48:46.686314,2024-03-01 04:10:25.998458
72,Standard attorney others kind article meet.,27.74,2024-06-10 02:12:25.844370,2024-05-14 13:13:54.962790
73,Feeling represent Republican national color painting remain.,13.51,2024-09-05 00:46:47.232434,2024-02-06 19:23:03.785514
74,Player four political front.,34.42,2024-03-21 15:20:36.152277,2024-06-30 11:48:29.997314
75,Market range pressure student.,13.19,2024-09-13 21:16:22.522282,2024-05-27 13:30:50.280928
76,Choice participant manage yeah day head mission.,44.05,2024-03-24 23:07:03.777947,2024-01-02 16:51:11.972783
77,Step week like above.,8.18,2024-01-15 21:39:11.935919,2024-07-21 04:36:24.584429
78,Quality us whether choose.,38.59,2024-04-12 17:18:22.362166,2024-02-18 16:01:40.742718
79,Night bit move customer.,39.29,2024-08-24 11:11:52.114797,2024-04-10 05:51:40.918550
80,Key decision think.,30.44,2024-03-13 11:46:06.131015,2024-03-18 15:09:14.634490
81,Other middle light play fund.,34.06,2024-03-24 00:33:55.315065,2024-09-06 02:48:42.601953
82,Skin cell even doctor nothing pattern what prepare.,24.61,2024-05-01 02:26:29.655495,2024-05-26 14:42:57.470788
83,Become ball station reason TV value.,43.26,2024-07-20 06:33:22.741816,2024-08-29 18:10:03.900796
84,With after per more over dream.,33.1,2024-01-06 01:12:47.632869,2024-09-14 09:34:23.995046
85,Whatever case husband hundred.,20.79,2024-03-04 04:01:27.905145,2024-03-29 15:22:44.271451
86,Begin pay world machine although world week just.,29.95,2024-07-17 11:53:13.331857,2024-09-23 03:24:34.877608
87,Citizen military environmental television commercial.,40.38,2024-08-06 09:18:52.592284,2024-01-29 10:25:08.348284
88,Usually dog push main doctor reflect long number.,45.47,2024-05-24 06:28:17.514808,2024-05-12 08:12:27.063855
89,Together admit address already street.,16.83,2024-09-16 21:33:09.795564,2024-06-22 13:21:19.534605
90,Model assume good sometimes month.,28.4,2024-04-11 01:41:54.066827,2024-09-21 01:43:23.556248
91,Should dinner form population.,44.97,2024-03-08 13:21:05.268038,2024-01-31 05:56:35.489121
92,To subject dark bank space soon.,8.27,2024-06-14 08:34:40.623114,2024-02-13 18:50:13.827283
93,Close strong show build.,7.0,2024-02-03 19:50:52.371769,2024-08-04 23:02:10.775906
94,That phone stop popular bit.,19.31,2024-05-13 21:22:11.503089,2024-01-23 18:16:08.911103
95,Identify trial fly society front military yes.,33.05,2024-06-29 20:21:44.319528,2024-03-10 10:48:24.666158
96,Some us six item practice challenge.,22.73,2024-09-23 12:48:21.895950,2024-05-22 06:15:28.022620
97,Should join security.,11.37,2024-09-03 11:14:37.860912,2024-04-25 09:40:35.160131
98,Thank too great firm third director.,11.65,2024-06-01 09:35:24.862515,2024-04-29 14:49:14.979945
99,Police school show government adult.,21.57,2024-04-19 01:49:08.149394,2024-07-14 06:08:54.392443
100,Decision religious song yes purpose which suggest.,14.61,2024-05-01 09:11:15.042810,2024-09-21 13:38:31.948293
101,Weight tree want heart ability.,17.79,2024-05-08 00:56:37.760489,2024-07-27 05:58:17.204408
102,Say money name.,24.25,2024-09-06 14:20:03.495843,2024-03-16 10:56:32.569823
103,Place alone sort process might something different country.,23.58,2024-06-16 04:30:26.968743,2024-06-19 07:46:05.044212
104,Positive entire behavior animal his production.,15.97,2024-04-27 19:19:57.358697,2024-05-05 07:03:41.884162
105,Say economy during clear.,23.85,2024-03-31 17:07:19.040383,2024-09-19 10:08:24.111032
106,Any avoid this.,12.53,2024-06-17 18:12:42.810440,2024-02-07 04:01:58.638637
107,Feel never senior big inside often citizen.,32.45,2024-07-06 17:14:53.858870,2024-08-08 09:00:43.521839
108,Necessary shoulder who south serious detail.,47.39,2024-01-12 20:41:10.305400,2024-03-08 10:22:08.081021
109,Space heart end economy enough single cultural.,40.95,2024-05-28 20:50:43.274277,2024-05-31 15:06:30.036558
110,More answer different outside land create.,19.97,2024-03-10 17:06:40.701337,2024-07-28 18:29:30.230575
111,Walk include whether performance.,46.08,2024-03-14 03:14:57.951259,2024-03-11 17:27:00.626401
112,Event moment instead.,25.8,2024-06-24 08:33:17.942254,2024-01-31 08:22:51.794612
113,Who sound collection interesting because imagine.,21.58,2024-07-24 03:02:51.005870,2024-05-27 18:48:59.283406
114,Gas project popular kid price senior available.,16.25,2024-03-16 06:39:12.203336,2024-03-10 21:27:00.086427
115,Evidence civil inside believe child.,46.73,2024-08-13 13:13:09.215322,2024-09-14 14:08:44.691991
116,This development bank paper.,45.5,2024-03-19 16:52:54.656743,2024-09-20 22:54:17.143268
117,Agree politics over yard where.,17.76,2024-09-04 11:43:04.666682,2024-09-20 02:39:47.764180
118,Dream wind where back.,31.73,2024-06-01 02:35:30.607857,2024-07-01 02:05:33.979931
119,Rich improve doctor you.,22.21,2024-08-24 11:25:03.175494,2024-03-29 14:42:33.108683
120,Job me deep focus social key amount.,9.34,2024-06-04 07:08:48.098247,2024-02-09 14:24:00.370828
121,Impact offer give blood just it so.,18.18,2024-05-17 09:52:08.624436,2024-06-30 16:08:23.067709
122,Special especially offer like risk.,6.02,2024-07-12 05:49:51.248498,2024-07-21 07:14:35.779150
123,Region history great risk decade conference.,39.98,2024-01-20 03:50:08.717441,2024-03-07 05:19:28.050786
124,Hospital after much together significant enough.,16.56,2024-08-11 18:27:04.704765,2024-07-25 21:54:52.293272
125,Fund involve condition word like there rather.,10.96,2024-07-14 11:40:11.495517,2024-09-20 15:43:44.679300
126,Because phone food term support.,17.08,2024-09-18 18:52:23.227619,2024-07-29 08:35:01.610589
127,Continue condition house catch environment deep.,13.33,2024-04-11 23:04:33.547795,2024-04-17 12:04:31.998184
128,Fact should candidate song recent.,39.7,2024-05-23 01:30:03.133931,2024-07-12 21:39:37.283619
129,Let under stop recently outside.,36.77,2024-07-10 01:00:55.497045,2024-03-03 16:14:44.259971
