inventory_id,product_id,quantity,last_updated
1,53,28,2024-04-27 20:38:05.780486
2,95,27,2024-08-28 12:33:33.705074
3,12,75,2024-04-20 12:25:54.982326
4,2,43,2024-06-26 05:11:15.966233
5,89,18,2024-05-09 02:45:39.698687
6,40,90,2024-09-14 09:57:54.803469
7,49,47,2024-04-25 02:51:14.293184
8,95,38,2024-03-11 06:27:10.234093
9,83,53,2024-07-28 07:51:06.562780
10,23,36,2024-02-17 10:08:15.258703
11,55,43,2024-01-16 05:45:26.142459
12,90,24,2024-07-25 16:17:05.873423
13,56,88,2024-06-28 09:32:34.949301
14,12,27,2024-03-30 22:21:30.659419
15,58,61,2024-06-25 17:51:26.460588
16,73,44,2024-06-06 20:06:06.352185
17,91,85,2024-06-23 10:11:28.923719
18,93,60,2024-02-08 04:26:24.339736
19,41,25,2024-01-05 16:30:04.924901
20,92,86,2024-06-13 22:52:46.540981
21,40,18,2024-08-01 08:33:37.767447
22,36,40,2024-05-12 09:23:07.841685
23,12,36,2024-07-14 23:21:58.914497
24,33,10,2024-04-18 22:14:02.008307
25,47,99,2024-08-03 18:21:12.228009
26,93,80,2024-06-14 19:17:44.338846
27,90,38,2024-05-22 17:23:41.110567
28,26,53,2024-08-04 08:17:10.503350
29,46,63,2024-07-01 23:21:42.594882
30,85,51,2024-01-22 14:55:22.272925
31,15,31,2024-04-02 08:14:47.951451
32,1,3,2024-01-25 02:22:33.548859
33,30,89,2024-02-16 02:29:01.586604
34,12,74,2024-09-13 13:21:58.608183
35,73,5,2024-04-23 02:02:03.863943
36,20,20,2024-05-19 21:06:15.254723
37,63,60,2024-02-29 22:02:24.042904
38,13,67,2024-09-13 23:23:26.087089
39,34,92,2024-09-22 00:33:24.876855
40,77,61,2024-08-16 12:23:07.702692
41,65,9,2024-06-16 18:16:17.081072
42,40,80,2024-04-15 22:44:55.453455
43,53,29,2024-07-19 08:57:27.724174
44,30,25,2024-02-18 09:39:23.441022
45,100,96,2024-05-04 11:39:35.047030
46,8,96,2024-02-16 01:24:57.044072
47,28,27,2024-07-28 23:00:39.607886
48,81,64,2024-07-15 08:27:06.556378
49,35,38,2024-05-22 08:45:23.586214
50,25,82,2024-02-03 20:01:34.081104
51,78,42,2024-06-08 17:44:44.422588
52,21,60,2024-05-26 22:16:26.373510
53,32,12,2024-09-01 15:55:21.400951
54,75,69,2024-05-03 03:46:15.557269
55,69,62,2024-04-08 16:25:37.121740
