order_id,customer_id,product_id,shipping_id,payment_id,return_id,quantity,order_date
1,38,17,88,25,84,5,2024-02-24 18:18:16.609073
2,57,58,13,78,100,1,2024-08-03 02:44:31.765570
3,71,79,37,22,51,10,2024-08-02 00:05:10.949089
4,67,78,26,47,37,10,2024-05-29 17:08:30.347547
5,68,25,55,57,11,5,2024-05-04 06:29:41.833377
6,75,99,50,52,72,1,2024-01-02 03:09:39.019628
7,76,65,35,11,61,8,2024-06-27 08:38:32.739843
8,51,3,65,81,44,2,2024-05-28 10:46:42.860465
9,62,19,97,32,15,4,2024-07-08 02:15:55.042072
10,33,73,25,6,17,9,2024-09-22 05:34:42.020897
11,30,24,100,8,42,8,2024-01-24 08:01:05.465899
12,45,20,25,31,74,10,2024-07-30 03:19:59.002052
13,94,27,37,63,38,10,2024-04-27 05:42:20.451039
14,98,86,83,7,76,3,2024-06-27 05:47:40.194474
15,9,5,51,89,31,4,2024-06-22 13:20:28.686779
16,36,51,41,79,10,3,2024-03-22 13:41:04.449912
17,85,49,80,30,66,8,2024-02-26 10:09:10.381592
18,46,55,5,14,72,6,2024-03-28 19:58:18.544696
19,61,39,42,79,44,7,2024-03-18 06:33:02.009630
20,93,64,68,66,4,7,2024-03-15 10:02:07.901446
21,1,27,51,58,8,8,2024-04-30 03:22:47.145847
22,59,76,55,86,22,8,2024-03-24 08:29:37.326425
23,63,9,10,53,29,8,2024-06-11 15:07:19.139795
24,35,83,89,60,20,4,2024-06-19 18:14:49.015895
25,85,55,74,63,96,10,2024-06-09 00:31:03.960338
26,66,62,16,76,11,1,2024-08-02 08:42:59.786723
27,12,42,41,5,95,1,2024-04-08 08:11:07.147307
28,41,64,89,51,55,8,2024-05-25 09:05:56.247322
29,21,66,66,23,53,2,2024-01-14 00:44:40.963014
30,96,16,26,89,95,2,2024-09-06 09:38:49.164240
31,97,73,22,15,99,1,2024-06-10 21:59:03.301077
32,23,48,48,60,73,9,2024-06-24 10:34:53.417888
33,37,15,21,99,17,1,2024-06-06 22:57:15.389597
34,40,40,21,4,5,10,2024-03-05 03:27:41.515004
35,13,25,88,4,30,3,2024-03-20 02:36:38.546563
36,26,94,35,42,87,3,2024-08-25 20:55:50.257853
37,96,11,38,41,79,9,2024-02-02 15:24:58.556529
