payment_id,payment_date,amount,payment_method
1,2024-09-03 17:16:29.691600,445.28,PayPal
2,2024-02-21 11:45:35.618329,495.09,Bank Transfer
3,2024-03-24 16:57:52.685427,802.12,PayPal
4,2024-08-17 00:06:07.989362,42.89,Credit Card
5,2024-06-09 12:59:38.839128,668.09,Credit Card
6,2024-01-10 08:00:22.658937,918.05,Credit Card
7,2024-01-18 12:35:02.619928,25.34,PayPal
8,2024-09-22 04:24:51.357850,986.82,Credit Card
9,2024-02-12 06:32:30.226869,729.09,PayPal
10,2024-08-26 02:56:53.115058,527.1,PayPal
11,2024-03-31 16:01:51.662130,294.69,Bank Transfer
12,2024-01-17 12:26:05.948044,445.11,PayPal
13,2024-08-12 02:49:40.646921,159.25,PayPal
14,2024-06-27 00:20:44.736539,634.44,Bank Transfer
15,2024-08-15 13:00:21.225004,785.1,Credit Card
16,2024-04-27 21:06:31.620464,313.17,Credit Card
17,2024-05-02 20:50:43.062863,172.56,PayPal
18,2024-08-12 15:00:01.347616,198.4,Credit Card
19,2024-04-02 21:50:50.384474,801.17,PayPal
20,2024-04-20 19:48:19.200623,130.75,Credit Card
21,2024-02-11 23:16:58.119382,658.58,Bank Transfer
22,2024-02-02 01:06:48.037732,585.47,PayPal
23,2024-03-28 01:07:19.484023,580.91,Bank Transfer
24,2024-05-27 14:52:04.178252,940.83,PayPal
25,2024-06-05 07:12:27.788750,482.05,Credit Card
26,2024-05-17 02:34:31.107912,334.42,PayPal
27,2024-07-07 11:05:17.430322,290.84,Credit Card
28,2024-04-17 18:58:29.725700,161.82,PayPal
29,2024-05-10 18:42:24.074566,557.84,PayPal
30,2024-04-03 05:32:33.836836,893.53,Bank Transfer
31,2024-05-06 14:43:52.742318,966.37,Bank Transfer
32,2024-08-19 02:56:29.640573,589.18,Bank Transfer
33,2024-05-16 01:11:29.985127,644.91,Credit Card
34,2024-05-01 23:44:43.039099,945.39,Credit Card
35,2024-03-04 16:10:52.803894,286.44,PayPal
36,2024-05-25 06:03:34.514287,257.16,PayPal
37,2024-07-25 16:47:52.071598,63.2,PayPal
38,2024-08-14 23:16:14.538642,264.47,Bank Transfer
39,2024-07-16 04:02:59.147370,690.82,PayPal
40,2024-04-01 06:25:09.494454,80.38,Bank Transfer
41,2024-02-23 01:13:31.068682,276.13,PayPal
42,2024-06-19 10:38:21.492092,637.59,Credit Card
43,2024-09-14 06:32:11.789123,349.5,Bank Transfer
44,2024-04-04 07:10:33.388260,46.42,PayPal
45,2024-03-25 15:14:34.439333,290.96,PayPal
46,2024-04-25 11:22:40.793110,181.05,Credit Card
47,2024-02-07 01:26:58.742343,910.27,Bank Transfer
48,2024-06-27 15:38:49.520193,900.74,PayPal
49,2024-04-01 05:37:53.288729,815.0,Credit Card
50,2024-04-22 18:48:45.626931,939.89,PayPal
51,2024-05-15 01:14:15.243762,347.52,PayPal
52,2024-02-17 16:58:16.413302,498.91,Credit Card
53,2024-04-05 20:53:41.277976,307.12,Bank Transfer
54,2024-04-07 10:57:09.387872,820.36,Bank Transfer
55,2024-02-29 10:04:10.617985,444.98,Bank Transfer
56,2024-08-03 17:47:17.422535,956.64,Credit Card
57,2024-08-21 10:54:28.670996,835.15,Bank Transfer
58,2024-01-16 02:50:21.263164,235.63,Bank Transfer
59,2024-04-06 16:42:44.417324,826.05,Credit Card
60,2024-06-20 10:43:32.704807,447.02,Credit Card
61,2024-07-03 10:15:44.914680,14.0,Credit Card
62,2024-04-17 09:56:26.753829,305.24,Credit Card
63,2024-05-08 15:17:29.974877,405.67,Bank Transfer
64,2024-07-03 04:57:53.417037,542.34,PayPal
65,2024-05-01 03:17:19.065547,821.65,Bank Transfer
66,2024-02-24 00:55:16.648200,558.73,Bank Transfer
67,2024-08-15 11:03:07.814641,338.91,Bank Transfer
68,2024-01-03 22:49:30.499780,833.98,PayPal
69,2024-04-25 05:11:11.222566,271.57,PayPal
