product_id,name,category_id,supplier_id,price,stock,promotion_id
1,also,3,16,810.13,3,45
2,attention,1,26,293.39,16,31
3,star,7,40,650.47,56,89
4,strategy,5,91,891.42,64,45
5,specific,2,59,275.88,0,81
6,seven,5,71,160.11,96,60
7,common,2,47,22.75,43,43
8,itself,4,25,285.56,0,74
9,during,2,37,178.49,33,70
10,technology,1,8,302.67,64,95
11,fly,4,98,466.83,91,97
12,mean,4,100,781.73,68,78
13,nothing,3,1,799.64,97,37
14,unit,3,96,425.33,70,1
15,several,3,35,479.17,53,18
16,pretty,3,27,452.29,3,6
17,garden,1,16,265.78,11,18
18,stand,1,35,467.59,40,99
19,green,8,67,709.41,53,20
20,trip,7,2,537.2,59,51
21,girl,6,59,226.67,58,59
22,able,5,48,941.79,8,34
23,foot,3,80,59.17,10,61
24,least,8,39,210.83,94,7
25,under,3,88,987.54,73,26
26,involve,8,11,151.44,0,87
27,near,8,29,905.19,8,49
28,threat,6,40,367.14,58,5
29,executive,5,34,487.8,14,35
30,career,5,9,471.38,12,92
31,hair,7,21,230.92,24,24
32,heart,3,82,387.08,73,43
33,visit,1,72,126.54,100,6
34,finish,3,51,923.95,6,41
35,social,1,26,260.12,17,5
36,degree,3,88,779.51,34,21
37,movie,3,41,632.31,17,55
38,talk,1,56,351.5,81,11
39,until,8,97,546.39,0,91
40,major,2,23,264.97,13,6
41,successful,8,67,96.26,12,74
42,carry,8,72,727.93,67,56
43,black,2,74,373.24,87,86
44,know,4,83,933.83,10,67
45,board,3,84,153.75,46,63
46,conference,2,40,448.96,34,31
47,sign,5,50,134.62,100,69
48,me,6,32,908.31,79,62
49,everything,3,15,224.51,36,96
50,about,8,36,55.71,95,95
51,always,6,34,443.45,86,24
52,letter,7,47,936.85,65,49
53,them,4,58,635.06,25,27
54,section,2,4,258.07,14,13
55,adult,7,17,584.39,43,10
56,doctor,2,91,806.04,27,86
57,property,2,5,248.8,18,61
58,war,1,75,89.91,9,39
59,popular,6,4,46.33,3,65
60,participant,5,54,260.12,87,36
61,interest,8,98,736.28,84,64
62,lay,3,50,380.66,32,52
63,free,2,88,624.64,21,61
64,fill,8,78,11.07,68,3
65,arm,5,50,620.85,49,42
66,scene,4,5,735.68,89,3
67,she,4,10,323.24,92,47
68,stuff,2,26,522.08,93,61
69,smile,8,3,386.1,61,5
70,sell,7,15,881.07,51,46
71,share,5,88,173.46,59,40
72,degree,7,91,172.59,84,65
73,woman,8,53,595.39,39,36
74,now,6,84,928.51,100,30
75,better,2,39,371.13,44,13
76,tax,5,75,524.91,97,83
77,decision,5,55,664.02,90,28
78,thus,5,10,194.0,53,44
79,sit,8,28,384.37,81,98
80,arrive,4,41,442.98,12,29
81,pull,3,34,890.54,18,83
82,traditional,5,74,28.0,79,62
83,follow,8,80,465.98,91,79
84,continue,5,21,239.81,43,53
85,own,6,16,434.25,79,76
86,number,4,99,963.61,84,38
87,attorney,2,4,807.88,63,89
88,plant,2,46,567.9,88,45
89,while,8,47,730.93,62,86
90,we,3,69,25.49,9,30
91,central,5,60,707.57,27,18
92,without,2,75,209.95,28,2
93,their,5,69,617.94,55,26
94,begin,4,89,74.19,12,20
95,oil,4,8,976.1,92,6
96,situation,1,6,649.79,84,3
97,available,6,37,988.79,68,34
98,evening,8,56,739.92,82,32
99,issue,3,55,460.97,4,6
100,candidate,4,74,694.15,55,58
101,measure,5,24,164.07,75,79
102,film,3,7,909.0,33,26
103,scientist,1,73,740.14,74,31
104,herself,8,28,377.44,25,73
105,mouth,7,94,541.88,80,87
106,think,6,41,994.33,30,21
107,let,1,94,929.64,84,24
108,begin,5,34,876.18,25,99
109,again,5,95,538.03,63,32
110,training,5,83,278.82,30,92
111,politics,1,89,513.2,80,33
112,young,3,68,877.63,17,48
113,budget,3,47,28.47,61,68
114,throughout,2,45,90.67,22,3
115,important,7,22,56.64,60,57
116,guess,6,20,939.85,90,8
117,outside,5,91,98.42,89,12
118,task,5,44,601.12,97,64
119,light,7,27,585.79,45,76
120,face,2,50,875.96,78,19
121,vote,2,86,171.49,92,9
122,throw,6,17,56.27,98,88
123,seat,3,1,14.12,15,49
124,role,1,92,790.75,50,32
125,money,5,41,732.89,27,6
126,deal,3,15,636.6,80,87
127,doctor,6,40,901.76,100,43
128,sure,5,20,934.43,74,70
129,half,6,98,345.92,51,80
130,community,2,21,607.76,28,96
131,actually,7,47,957.06,7,29
132,create,4,3,21.03,42,67
133,not,1,81,947.23,40,47
134,involve,1,57,549.5,14,87
135,base,8,30,579.43,49,3
136,story,2,19,329.84,64,93
137,which,2,99,490.09,63,43
138,capital,4,33,860.3,87,37
139,affect,3,1,426.64,6,17
140,charge,1,46,175.69,1,92
141,specific,5,41,643.67,60,17
142,speak,7,25,931.3,89,100
143,measure,8,11,276.35,96,32
144,doctor,4,82,861.3,32,58
145,woman,7,95,882.96,42,18
146,hear,8,18,174.46,97,22
147,would,6,99,720.82,84,6
148,left,1,34,213.56,76,55
149,book,7,60,437.76,12,60
150,chair,5,77,513.5,50,31
151,along,5,99,554.89,63,23
152,billion,1,42,200.3,60,56
153,find,2,7,192.65,47,94
154,night,1,78,550.14,100,68
155,finish,7,31,846.83,81,62
156,floor,7,24,510.66,26,53
157,those,8,16,385.27,40,69
158,resource,4,85,749.69,11,21
159,answer,8,87,626.36,53,16
160,around,6,60,545.53,46,63
161,term,2,15,210.43,86,94
162,rich,3,72,774.6,93,53
163,treat,3,97,225.09,67,70
164,reflect,2,9,258.55,80,58
165,election,6,10,107.1,51,63
166,exactly,7,25,377.28,14,3
167,this,4,30,89.9,79,17
168,include,7,95,292.18,31,83
169,stop,6,4,68.31,44,34
170,north,5,58,477.19,48,92
171,whom,8,84,914.57,55,79
172,side,3,62,607.09,53,89
173,dark,1,38,513.59,23,83
174,yes,8,80,375.47,68,44
175,project,7,78,748.37,66,7
176,account,4,23,374.03,14,100
177,despite,5,63,212.66,0,35
178,consider,7,94,153.19,4,67
179,phone,8,93,545.85,52,53
180,exactly,5,44,890.08,46,70
181,little,7,60,222.11,64,40
182,country,7,59,449.36,48,92
183,between,6,20,690.59,86,43
184,red,6,34,825.5,4,98
185,store,5,19,670.85,44,13
186,experience,7,28,309.63,48,28
187,use,6,94,624.79,49,91
188,best,4,78,872.77,6,43
189,month,1,85,67.27,66,29
190,measure,3,18,499.73,56,62
191,hard,8,67,137.69,100,17
192,kitchen,7,65,166.17,21,43
193,leader,6,42,590.86,50,97
194,class,3,35,629.49,76,73
195,stage,4,17,56.06,61,47
196,eye,5,18,712.09,66,82
197,available,6,6,62.99,72,58
198,serious,2,60,320.4,91,53
199,arm,3,11,528.98,87,4
200,value,3,32,740.34,56,84
201,now,5,8,763.18,52,31
202,enjoy,2,41,519.36,31,47
203,different,1,22,217.89,12,68
204,war,4,87,517.66,34,46
205,sing,1,53,986.11,58,48
206,it,4,60,441.14,37,93
207,understand,6,36,777.53,24,8
208,star,4,86,953.09,33,59
209,third,1,20,923.1,84,94
210,scientist,7,16,182.39,2,28
211,present,4,28,669.04,10,72
212,successful,2,62,289.69,19,13
213,especially,8,99,256.65,52,55
214,same,8,79,172.06,17,73
215,move,7,99,252.53,64,60
216,partner,1,89,826.33,46,59
217,maybe,2,94,702.06,43,35
218,recent,1,86,252.38,37,30
219,market,3,16,501.29,58,86
220,quality,8,54,40.83,39,65
221,house,2,15,970.84,5,81
222,late,4,32,374.89,25,41
223,many,5,99,634.09,84,18
224,just,5,24,860.53,56,38
225,determine,5,4,503.81,19,97
226,morning,5,27,668.83,89,68
227,stay,7,5,219.58,81,28
228,part,6,2,638.25,6,83
229,me,5,86,326.09,75,73
230,safe,4,58,756.29,29,86
231,school,8,31,648.79,19,37
232,school,1,51,171.55,78,61
233,safe,2,17,714.87,58,62
