promotion_id,description,start_date,end_date,discount_id
1,Stay notice then.,2024-01-24 04:09:06.371135,2024-03-26 08:00:18.606817,91
2,Democratic mother organization nation stand service evening.,2024-02-27 11:53:48.324208,2024-04-22 18:26:40.987830,48
3,Raise some put they.,2024-06-18 19:35:40.625915,2024-07-26 08:38:03.597618,51
4,You ok tend agreement evening.,2024-01-19 19:28:36.962390,2024-03-13 22:40:19.251259,90
5,Full beat smile crime want test eight.,2024-09-01 15:19:13.389470,2024-01-31 16:12:18.268752,65
6,Particularly sort star room low product.,2024-06-22 07:46:18.618344,2024-06-11 18:20:48.869033,98
7,Economy necessary reflect realize enough minute.,2024-09-15 10:41:29.803457,2024-07-17 22:07:53.842475,80
8,Ever thousand child young where performance expert wear.,2024-08-23 22:01:24.584122,2024-05-10 17:08:56.719780,91
9,Produce mouth similar year such.,2024-02-15 03:15:33.033464,2024-04-04 21:55:12.486629,77
10,Song car education score.,2024-04-29 05:37:02.386909,2024-09-01 20:36:07.622963,80
11,Mother receive like.,2024-05-23 23:15:35.791345,2024-01-07 21:11:14.026235,10
12,Despite off within success system.,2024-09-03 10:40:18.223271,2024-02-15 13:07:09.516209,22
13,Seek miss form trial thank pretty college.,2024-07-05 17:05:42.405125,2024-04-13 15:55:58.940787,50
14,Only owner some side actually.,2024-06-15 20:13:07.244530,2024-08-05 04:37:06.243132,46
15,Everyone camera probably conference street defense.,2024-05-03 16:34:43.884677,2024-03-04 03:48:16.056592,2
16,In young threat man act any.,2024-03-19 23:44:39.781374,2024-09-16 13:01:57.838282,84
17,Friend during read hot court prepare.,2024-09-17 19:11:10.213076,2024-08-02 01:48:05.763425,65
18,Be man color door cost again.,2024-01-25 23:58:31.429744,2024-07-19 05:03:28.325034,59
19,Happen clearly present general score military nothing.,2024-02-18 05:10:00.824841,2024-07-14 10:24:06.522451,65
20,Walk business professional area professional so.,2024-04-28 17:43:54.193909,2024-07-22 01:39:52.006260,15
21,Trip third talk out movement.,2024-07-26 21:49:23.758382,2024-04-22 16:13:36.373701,25
22,Laugh couple year.,2024-06-06 02:58:45.326148,2024-09-17 21:01:56.173509,32
23,Scientist owner wind.,2024-02-05 11:00:38.066494,2024-04-06 07:02:32.241236,93
24,Yard need unit seven start onto.,2024-09-10 20:10:50.676217,2024-07-21 02:42:13.066593,37
25,Eye range site science buy test.,2024-03-17 02:00:21.361027,2024-03-14 13:04:38.372276,100
26,Establish reality standard cut set.,2024-09-01 03:37:52.520548,2024-03-15 21:39:20.960059,75
27,Still right whether happy partner car base.,2024-01-06 14:55:53.820462,2024-01-04 23:18:07.316429,49
28,Several size one treatment body consider.,2024-03-26 08:06:39.654353,2024-04-07 23:11:50.378378,78
29,Great wall maintain sense.,2024-04-05 02:34:14.581125,2024-01-25 11:24:48.128789,78
30,Whom prevent growth hear.,2024-09-15 02:13:54.687302,2024-02-06 02:58:46.973679,74
31,Board travel plant glass.,2024-02-20 21:14:09.106452,2024-08-18 15:23:21.654325,77
32,Foot occur month rock energy on.,2024-03-13 13:50:05.826125,2024-01-06 15:14:04.547506,18
33,Stuff represent production any.,2024-08-22 18:28:54.022105,2024-07-04 11:49:38.774942,43
34,Loss media side.,2024-04-22 23:37:09.014723,2024-01-15 05:00:21.308848,37
35,Ball economic age nation describe compare unit position.,2024-08-22 11:09:56.420829,2024-03-30 20:24:13.704479,30
36,Have force five professional something century common region.,2024-01-30 15:46:13.119177,2024-03-05 21:28:33.878129,92
37,Blood policy let she present.,2024-05-19 14:20:15.938613,2024-08-02 20:56:23.972435,46
38,Which century fill peace true.,2024-05-12 04:11:44.517401,2024-09-10 10:26:58.894255,89
39,Why behavior interview land meet lose turn.,2024-03-09 07:30:20.750621,2024-05-27 03:52:25.258136,19
40,Five radio money rate however.,2024-03-27 01:51:46.205589,2024-08-14 20:02:32.307465,90
41,Son product share study make glass become.,2024-03-23 06:13:16.989535,2024-09-10 04:50:19.925757,28
42,Moment hair foreign American anyone choose concern begin.,2024-07-20 14:34:59.790292,2024-03-06 02:21:50.231961,54
43,Side need almost produce respond.,2024-04-15 14:22:47.439575,2024-02-09 10:33:21.735095,68
44,Contain month business edge relationship despite sing six.,2024-09-22 09:12:07.339671,2024-03-09 17:02:18.408168,99
45,Front mean sense station culture detail right interesting.,2024-08-26 14:04:26.831160,2024-02-15 04:23:13.491071,56
46,Its commercial board plan as successful believe.,2024-04-01 07:24:58.115912,2024-04-30 19:25:38.601602,66
47,Particularly hour similar.,2024-01-11 23:22:57.370349,2024-01-20 21:30:21.779096,48
48,Not in fill exactly laugh table indicate game.,2024-08-13 23:35:03.951239,2024-02-26 07:39:52.755092,34
49,Memory if popular way vote impact marriage.,2024-07-28 00:15:13.441717,2024-07-19 20:32:09.548953,87
50,Sport fast stand kid over.,2024-08-19 17:33:38.499250,2024-03-31 21:43:36.584873,25
51,College series land commercial yes conference.,2024-06-27 22:33:32.924584,2024-02-09 18:06:50.480753,30
52,Option step final age beautiful nation.,2024-01-14 10:12:51.949314,2024-02-24 15:30:44.206017,74
53,Candidate for employee school affect type.,2024-05-03 09:00:47.579136,2024-03-16 05:59:02.065876,85
54,Beautiful police attack close positive realize.,2024-01-28 12:48:27.989391,2024-05-05 05:03:19.242288,30
55,Live let character religious.,2024-07-05 13:06:33.352836,2024-06-22 21:49:43.812019,15
56,Fight move enter brother must role personal section.,2024-03-20 04:34:56.778548,2024-02-21 00:10:08.699949,31
57,Door hope tree deep.,2024-02-08 22:39:26.662775,2024-07-14 17:42:49.459568,57
58,Now describe there since another.,2024-04-27 05:30:16.743225,2024-06-27 06:35:09.418302,81
59,Past degree resource popular sport media between.,2024-07-31 20:46:20.672155,2024-08-17 16:16:52.857091,67
60,Indeed sport house agreement draw shake here.,2024-01-29 10:33:04.659967,2024-01-06 05:38:55.148812,20
61,Say claim worry station.,2024-04-13 01:39:28.630726,2024-08-07 09:02:50.344197,66
62,Play also capital theory management instead.,2024-08-11 09:10:13.294684,2024-05-20 22:00:22.117655,26
63,Attorney through manager least who.,2024-07-23 22:24:09.345536,2024-01-31 12:10:26.018075,7
64,Their rest gas read practice even.,2024-01-12 15:04:33.531978,2024-05-10 02:15:51.698878,87
65,Those future sing own win.,2024-02-16 17:30:52.707421,2024-08-12 18:18:13.261723,9
66,Brother election above exist green like.,2024-07-14 19:08:35.364275,2024-01-14 05:23:27.731646,76
67,Dog south may behavior full check body.,2024-09-09 09:08:04.528516,2024-08-17 21:50:31.465708,62
68,Although nor simple require staff now thing.,2024-08-25 09:10:43.388510,2024-04-08 13:22:42.101819,54
69,Rate maintain serve arrive as.,2024-03-01 15:56:14.705869,2024-04-06 18:57:37.727558,32
70,Structure central mission one.,2024-05-27 08:39:09.532745,2024-05-25 18:29:21.608897,97
71,Remain expect city land behavior.,2024-01-06 18:38:05.056635,2024-05-21 06:48:33.252924,36
72,Spend local government study.,2024-04-29 17:40:15.249024,2024-04-07 11:01:08.966060,100
73,East true name east anyone.,2024-01-13 05:26:30.286891,2024-01-24 19:06:56.754412,60
74,Peace positive wide rather will.,2024-07-08 10:55:47.998391,2024-01-11 12:42:25.324149,94
75,Off nor wife.,2024-04-21 10:53:50.203138,2024-02-11 16:01:59.616334,69
