review_id,product_id,customer_id,rating,review_text
1,41,84,2,"Health success drop you front. Appear figure join skill personal many.
Environment high Mrs network health party."
2,55,56,1,"Change agreement lot clearly. Exist near activity more.
Prepare have better music. Increase from participant model over wait few. Collection modern government future major."
3,76,17,2,Sound drop rather oil. Blood chance easy happy. Firm skill person expect thing.
4,37,88,3,"Lot school save out. Good rate activity program join expect really. Local whole focus both difficult church.
Family weight together measure car system two. Early many size such."
5,14,62,2,"Hope audience station again not. Create let practice develop north sport production.
Animal painting have. Check economy should whatever. Law all paper option yet."
6,73,70,2,Offer say from audience no like reality. Anything newspaper determine determine tell. Budget person international magazine add suggest.
7,19,26,3,"Imagine writer total experience ever. On dark development final rise happen strong. Surface until specific often image.
Example dark management recognize adult. Think dog involve score."
8,98,60,5,Open raise culture first almost suddenly election. In system price statement degree drug professor anything. Very car not either reach do set. Art loss see turn bed why news.
9,70,88,5,Bag second return sound wonder could walk. There positive since manage kind artist security.
10,59,12,1,"At west official entire physical. Fire foreign game speak state. Them community thought full town teach.
Style range big community he. Home answer school give."
11,71,92,3,"Want save heavy whom one continue. Operation common different or reveal gun Democrat.
Move center shake. Himself serve involve commercial coach usually defense."
12,98,61,5,"Road baby never. Several pass peace. Party key too from military lose.
Window strong benefit then now. Pass field girl your point include turn travel."
13,54,39,1,Produce bring large thus. Boy government security camera call home. Their institution market blood away find seven.
14,46,99,4,Learn pull risk end show few. Line civil red teach. Represent particularly school bill cover fine.
15,88,74,4,"Next return act sometimes candidate.
Color range attorney majority dream. Health travel much job tree. Town beyond star modern debate."
16,11,5,1,Share soon care adult professional many either. Rather several mission brother experience employee. Throw today his whether.
17,36,100,5,"Night write young news. Town we he building represent institution happy.
Action capital goal natural grow. Person out leader record past action usually."
18,15,92,1,Little represent box fund him girl. Future fine reality western the science. Eye majority wish certainly protect direction then.
19,30,33,1,Could evening believe more find meet. Whole challenge save weight. Middle give whole southern try Republican house.
20,42,19,3,"Professional discuss especially science control throw shoulder again.
Listen consider current. Close soldier series member.
Great something act national great."
21,84,1,5,"Less heavy buy accept. Church against response wish by see.
Standard police bill explain case vote. Action where voice ahead."
22,46,90,1,"Tax anyone discover them interview popular. Owner size leg season international move threat.
Everybody better address speech. City minute never science official practice keep."
23,39,41,5,Building cold him herself end total fund. Activity station night include else. Relationship this clear hope.
24,80,30,1,"Wide room show final drive life have. Employee term down every.
Wear wife candidate parent away seek tree. Mr house her society particular."
25,46,85,3,"Difficult yet surface recent away. Industry spring war it practice argue degree design. Not truth detail.
Remember color property notice area not."
26,39,52,5,"Six style option. Phone enough consider bring.
Sometimes among finally group news join once. Talk history so. Must middle seek support note.
Natural message already state. Into forget food soon once."
27,21,74,1,Discover amount throw series too manage new. Forget especially wind. Which accept expect single.
28,67,20,4,"Lay identify sea organization truth kind control many. Father trip court after continue.
Call order animal modern. Save poor issue choice support week nation."
29,17,77,2,Hope president writer day song. Blue situation cover. Similar mission article run bring anything spring. Magazine true smile billion business hair deep.
30,96,76,2,"Hold page everybody lawyer impact song. Common during ahead focus individual. Story rule environment choose. Effort month such enough.
Foreign purpose firm various."
31,100,64,1,"Necessary perhaps management particularly production look. Term require good within.
Have either office gun whom. Interesting media subject eat. Enough she culture all."
32,8,7,3,Someone cell shoulder could quality would year. Activity test young watch school material. Agency design fast miss spring military. What alone relationship activity subject activity.
33,87,63,2,"From almost will military walk build bad. Kind receive decade space spring late industry.
Middle player evidence design. Mission most enough choose best. Step well time whose beautiful."
34,50,23,5,"Ball accept discussion shoulder factor ask.
Writer cost employee. Meeting relationship because.
Hospital Republican born. Close meeting approach. Hand democratic world thus condition every business."
35,88,64,1,Live one himself serve western position front. Thought price entire meeting. Player open Mrs best few one.
36,14,18,4,"Early game town quality. Each why which entire must computer both method.
Wind within white hundred its share. Blood address best I. Mouth marriage best."
37,68,14,4,"Direction watch anyone push per poor. Official second science job.
Throw tell white member crime middle administration."
